Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG,1B,PA,wOBA,wRC,wRAA,wRC+,wSB,Off,Rep,RAR,WAR
Martin Orozco,Legends,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1,1,0.9727309599997985,0.8394925903869037,0.6524974369135595,448.3901324188094,-0.04267589388696655,0.609821543026593,0.04416552667578659,0.6539870697023795,0.04935878869985437
Justin Linden,Cardinals,0.2,6,10,4,2,1,0,0,1,0,2,2,6,0,0,3,0.333,0.3,1,12,0.3356461629719103,1.254685509845098,-0.9892563318350314,55.84609564015727,1.0719723183391006,0.0827159865040692,0.529986320109439,0.6127023066135082,0.046242877098185385
Brian Nava,Mariners,0.286,2,7,0,2,0,0,0,1,2,4,0,2,0,0,2,0.444,0.286,2,9,0.40524090468958224,1.6635691151246863,-0.019387266135410586,98.72735882501196,0.22929642445213383,0.20990915831672324,0.3974897400820793,0.6073988983988026,0.04584260954308241
Nick Johnson,Mariners,0.375,2,8,4,3,0,0,0,0,0,1,1,1,0,0,3,0.444,0.375,3,9,0.4185296167684679,1.8015367961566768,0.11858041489657986,106.91528719399902,0.029296424452133818,0.14787683934871368,0.3974897400820793,0.545366579430793,0.04116080425005521
Scott Savage,Legends,0.4,2,5,1,2,0,0,0,1,1,0,0,0,0,0,2,0.5,0.4,2,6,0.4660525051838198,1.5299564679764757,0.4079855471364111,136.1968311030229,-0.12802768166089964,0.2799578654755115,0.2649931600547195,0.544951025530231,0.04112944088199875
Neer Patel,Mariners,0.444,2,9,1,4,0,0,0,1,0,2,0,0,0,0,4,0.444,0.444,4,9,0.4323248711110216,1.9447635618199022,0.26180718055980523,115.41532494921987,-0.1707035755478662,0.09110360501193904,0.3974897400820793,0.48859334509401836,0.03687592124967502
Released Player BW,Mariners,0.5,1,4,1,2,0,0,0,0,0,1,0,0,0,0,2,0.5,0.5,2,4,0.48636547999989926,1.1137024608827222,0.36572184698934584,148.71280569617878,-0.0853517877739331,0.28037005921541275,0.17666210670314636,0.4570321659185591,0.034493883979811756
Kenneth Rodriguez,Legends,0.333,1,3,2,1,0,0,0,0,0,2,1,0,0,0,1,0.5,0.333,1,4,0.4553261577291535,0.9704756952194972,0.22249508132612072,129.58772074693195,-0.0853517877739331,0.13714329355218763,0.17666210670314636,0.313805400255334,0.023684037745769364
Alexander Delk,Legends,0.273,10,33,11,9,0,0,1,4,6,9,1,0,0,0,12,0.4,0.364,8,40,0.3889377247502204,6.641352265042978,-0.8384538738907866,88.68204602586559,-0.6401384083044982,-1.4785922821952848,1.7666210670314637,0.2880287848361789,0.02173858259410942
DJ Alexander,Guapos,0.304,5,23,7,7,4,0,0,3,0,9,1,0,0,0,11,0.333,0.478,3,24,0.3832612152597577,3.827650435056416,-0.6602332483038427,85.1844269324672,-0.1707035755478662,-0.8309368238517089,1.059972640218878,0.2290358163671692,0.017286168165236766
Paul Galloway,Hard Knocks,0.3,3,10,0,3,1,0,0,5,1,0,0,1,0,0,4,0.364,0.4,2,11,0.37765369863021936,1.6831831777694832,-0.37376351043730194,81.72931824939806,0.07197231833910037,-0.3017911920982016,0.4858207934336525,0.18402960133545088,0.013889385016386827
Gil Rodriguez,Guapos,0.286,5,7,2,2,1,0,0,2,1,1,0,0,0,0,3,0.375,0.429,1,8,0.3976824656165767,1.4089733072736639,-0.08698792051308904,94.07017629718405,-0.0853517877739331,-0.17233970828702214,0.3533242134062927,0.18098450511927058,0.013659560502006795
Jobe Lowen,Legends,0.0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0.5,0.0,0,4,0.42485669550503424,0.8298784718718891,0.08189785797851272,110.81375885719807,-0.0853517877739331,-0.003453929795420377,0.17666210670314636,0.173208176907726,0.013072652658050458
Nick Granado,Legends,0.2,2,5,2,1,1,0,0,0,0,4,1,1,0,0,2,0.333,0.4,0,6,0.36774155412438486,0.8494925345166853,-0.2724783863233793,75.6218844578438,0.15732410611303346,-0.11515428021034582,0.2649931600547195,0.1498388798443737,0.011308886600200008
