,Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG,1B,PA,wOBA,wRC,wRAA,wRC+,wSB,Off,Rep,RAR,WAR
2,Josh Cardenas,Legends,0.5,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,2.0,0.4789036192655611,0.5326583849329193,0.24991770843682212,187.9759257594196,-0.025766871165644172,0.22415083727117796,0.08087533156498675,0.30502616883616473,0.025143733606916824
3,Conor Fahey,Legends,0.5,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,2.0,0.4789036192655611,0.5326583849329193,0.24991770843682212,187.9759257594196,-0.025766871165644172,0.22415083727117796,0.08087533156498675,0.30502616883616473,0.025143733606916824
12,Chad Crunelle,Hard Knocks,0.24,14.0,25.0,4.0,6.0,2.0,0.0,0.0,3.0,2.0,7.0,1.0,1.0,0.0,1.0,8.0,0.31,0.32,4.0,29.0,0.3078112030987992,3.175350101210667,-0.9243897079827411,77.2817731575469,0.019631901840490795,-0.9047578061422503,1.172692307692308,0.2679345015500576,0.022086215608258818
5,Mike Kijanski,Coyotes,0.333,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333,0.333,1.0,3.0,0.31926907951037403,0.3599935823541716,-0.0641174323899741,84.69484235378785,-0.025766871165644172,-0.08988430355561827,0.12131299734748012,0.03142869379186185,0.002590711175146368
21,Ethan Hale,Legends,0.125,2.0,8.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.3,0.25,0.0,10.0,0.294798909270254,0.9756692194650671,-0.4380341630154186,68.86301988356503,-0.051533742331288344,-0.4895679053467069,0.4043766578249337,-0.0851912475217732,-0.00702243365381185
12,Andre Fuller,Coyotes,0.2,13.0,40.0,7.0,8.0,2.0,0.0,1.0,2.0,4.0,12.0,1.0,1.0,0.0,1.0,13.0,0.283,0.325,5.0,46.0,0.29492964602366756,4.493591130218557,-2.009444429191677,68.94760454521906,-0.05766871165644172,-2.067113140848119,1.860132625994695,-0.20698051485342384,-0.017061693254562322
22,Will Pawlosky,Legends,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1726648025787476,-0.3140351408267962,-121.86732445747559,0.0,-0.3140351408267962,0.04043766578249337,-0.2735974750443028,-0.022553022431770448
27,Adrian Rangel,Coyotes,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1726648025787476,-0.3140351408267962,-121.86732445747559,0.0,-0.3140351408267962,0.04043766578249337,-0.2735974750443028,-0.022553022431770448
15,Josh Cimino,Legends,0.2,6.0,15.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,0.294,0.267,2.0,17.0,0.2860943276332226,1.522991581594663,-0.8803041686221624,63.23128991181778,-0.10306748466257669,-0.9833716532847391,0.6874403183023874,-0.2959313349823517,-0.02439403373528951
13,David Whitaker,Hard Knocks,0.222,12.0,9.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.222,0.333,1.0,9.0,0.25622284531415807,0.5598504870674508,-0.7124825571649863,43.904901890926375,-0.025766871165644172,-0.7382494283306305,0.36393899204244035,-0.3743104362881901,-0.03085493265128406
